iter	Passed	Remaining
0	126	126340
1	127	63711
2	128	42767
3	129	32289
4	130	26019
5	132	21874
6	133	18937
7	134	16722
8	136	15009
9	137	13615
10	138	12468
11	139	11510
12	140	10696
13	142	10007
14	143	9404
15	144	8881
16	145	8422
17	147	8048
18	149	7700
19	150	7393
20	152	7101
21	153	6829
22	154	6576
23	155	6339
24	156	6122
25	157	5917
26	159	5746
27	161	5602
28	162	5445
29	164	5321
30	165	5181
31	166	5044
32	167	4916
33	168	4795
34	169	4680
35	170	4570
36	171	4463
37	172	4364
38	173	4272
39	174	4194
40	175	4115
41	177	4043
42	178	3973
43	179	3897
44	180	3828
45	181	3758
46	182	3691
47	182	3627
48	183	3565
49	184	3507
50	185	3450
51	186	3394
52	187	3343
53	188	3305
54	190	3267
55	191	3226
56	192	3192
57	193	3150
58	195	3110
59	196	3071
60	196	3031
61	197	2991
62	198	2953
63	199	2916
64	200	2879
65	200	2844
66	202	2814
67	203	2792
68	205	2767
69	206	2745
70	208	2722
71	208	2693
72	209	2665
73	210	2638
74	211	2613
75	212	2588
76	213	2562
77	214	2535
78	215	2509
79	216	2484
80	217	2463
81	218	2445
82	219	2421
83	220	2402
84	221	2388
85	222	2368
86	223	2347
87	224	2328
88	225	2310
89	226	2291
90	227	2271
91	228	2253
92	229	2234
93	229	2215
94	230	2197
95	231	2180
96	232	2167
97	234	2155
98	235	2140
99	236	2128
100	237	2114
101	238	2099
102	239	2084
103	240	2070
104	241	2055
105	242	2041
106	242	2026
107	243	2012
108	244	1998
109	245	1984
110	246	1971
111	247	1960
112	248	1954
113	250	1943
114	251	1934
115	252	1924
116	253	1911
117	254	1899
118	255	1887
119	255	1875
120	256	1864
121	257	1851
122	258	1840
123	258	1829
124	259	1818
125	260	1807
126	261	1795
127	262	1787
128	264	1783
129	265	1774
130	266	1767
131	267	1759
132	268	1749
133	269	1741
134	270	1731
135	271	1721
136	271	1712
137	272	1702
138	273	1693
139	274	1684
140	275	1675
141	275	1664
142	276	1656
143	277	1650
144	279	1645
145	280	1638
146	281	1633
147	282	1626
148	283	1618
149	284	1611
150	285	1603
151	286	1595
152	286	1588
153	287	1580
154	288	1572
155	289	1564
156	290	1557
157	290	1549
158	291	1543
159	292	1537
160	293	1531
161	295	1526
162	296	1522
163	297	1517
164	298	1510
165	299	1504
166	300	1497
167	301	1491
168	302	1485
169	302	1478
170	303	1472
171	304	1465
172	305	1459
173	306	1453
174	307	1448
175	308	1445
176	309	1440
177	311	1437
178	312	1432
179	313	1427
180	314	1421
181	315	1416
182	316	1410
183	316	1405
184	317	1399
185	318	1393
186	319	1388
187	320	1382
188	320	1377
189	322	1373
190	323	1370
191	324	1366
192	326	1363
193	327	1359
194	328	1354
195	329	1349
196	329	1344
197	330	1340
198	331	1334
199	332	1329
200	333	1324
201	334	1319
202	334	1314
203	335	1309
204	336	1305
205	338	1302
206	339	1299
207	340	1295
208	341	1293
209	342	1289
210	343	1284
211	344	1280
212	345	1276
213	346	1271
214	347	1267
215	347	1262
216	348	1258
217	349	1253
218	350	1248
219	351	1244
220	352	1240
221	353	1238
222	354	1235
223	355	1232
224	357	1229
225	357	1225
226	358	1222
227	359	1217
228	360	1213
229	361	1209
230	362	1205
231	362	1201
232	363	1197
233	364	1193
234	365	1188
235	366	1185
236	367	1181
237	368	1179
238	370	1178
239	371	1175
240	372	1174
241	374	1171
242	375	1168
243	375	1164
244	376	1161
245	377	1157
246	378	1154
247	379	1150
248	380	1146
249	381	1143
250	382	1140
251	383	1138
252	384	1136
253	386	1134
254	387	1131
255	388	1128
256	389	1124
257	389	1121
258	390	1118
259	391	1114
260	392	1111
261	393	1107
262	394	1104
263	394	1100
264	395	1097
265	396	1093
266	397	1091
267	398	1088
268	399	1085
269	400	1082
270	401	1079
271	401	1075
272	402	1072
273	403	1069
274	404	1066
275	405	1062
276	405	1059
277	406	1056
278	407	1053
279	408	1050
280	409	1046
281	409	1043
282	410	1040
283	411	1037
284	412	1035
285	413	1032
286	414	1029
